Waf: Entering directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Waf: Leaving directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Build commands will be stored in build/compile_commands.json
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008398 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008398 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Block Propagation Time: 136.703833
Block Propagation Time: 136.562937
Block Propagation Time: 136.708333
Block Propagation Time: 137.013937
Block Propagation Time: 136.702797
Block Propagation Time: 136.708333
Block Propagation Time: 136.968531
Block Propagation Time: 136.742160
Block Propagation Time: 136.708333
Block Propagation Time: 136.749129
Block Propagation Time: 136.708333
Block Propagation Time: 136.742160
Block Propagation Time: 136.708333
Block Propagation Time: 137.038328
Block Propagation Time: 136.643357
Block Propagation Time: 136.597902
Block Propagation Time: 136.664336
Block Propagation Time: 136.708333
Block Propagation Time: 136.717770
Block Propagation Time: 136.716783
Block Propagation Time: 136.739437
Block Propagation Time: 136.714286
Block Propagation Time: 136.734266
Block Propagation Time: 136.568421
Block Propagation Time: 136.708333
Block Propagation Time: 136.691228
Block Propagation Time: 136.708333
Block Propagation Time: 136.607018
Block Propagation Time: 136.575439
Block Propagation Time: 136.731707
Block Propagation Time: 136.660839
Block Propagation Time: 136.776224
Block Propagation Time: 136.708333
Block Propagation Time: 136.600000
Block Propagation Time: 136.653846
Block Propagation Time: 136.620209
Block Propagation Time: 136.703833
Block Propagation Time: 136.708333
Block Propagation Time: 136.758741
Block Propagation Time: 136.735192
Block Propagation Time: 136.745645
Block Propagation Time: 136.724739
Block Propagation Time: 136.763066
Block Propagation Time: 136.755245
Block Propagation Time: 136.649123
Block Propagation Time: 136.745645
Block Propagation Time: 136.703833
Block Propagation Time: 136.742160
Block Propagation Time: 136.708333
Block Propagation Time: 136.707317
Block Propagation Time: 136.608392
Block Propagation Time: 136.559441
Block Propagation Time: 136.708333
Block Propagation Time: 136.728223
Block Propagation Time: 136.657343
Block Propagation Time: 136.716783
Block Propagation Time: 136.720280
Block Propagation Time: 136.754386
Block Propagation Time: 136.756098
Block Propagation Time: 136.627178
Block Propagation Time: 136.620209
Block Propagation Time: 136.597902
Block Propagation Time: 136.714286
Block Propagation Time: 136.738676
Block Propagation Time: 136.658537
Block Propagation Time: 136.671329
Block Propagation Time: 136.727273
Block Propagation Time: 137.038462
Block Propagation Time: 136.623693
Block Propagation Time: 136.711806
Block Propagation Time: 136.711806
Block Propagation Time: 136.735192
Block Propagation Time: 136.711806
Block Propagation Time: 136.742160
Block Propagation Time: 136.678322
Block Propagation Time: 136.748252
Block Propagation Time: 136.717770
Block Propagation Time: 136.707317
Block Propagation Time: 136.724739
Block Propagation Time: 136.726316
Block Propagation Time: 136.736842
Block Propagation Time: 136.700348
Block Propagation Time: 136.700348
Block Propagation Time: 136.711806
Block Propagation Time: 137.038328
Block Propagation Time: 136.728223
Block Propagation Time: 137.091228
Block Propagation Time: 136.671329
Block Propagation Time: 136.703833
Block Propagation Time: 136.674825
Block Propagation Time: 136.629371
Block Propagation Time: 136.882979
Block Propagation Time: 136.596491
Block Propagation Time: 136.711806
Block Propagation Time: 136.641115
Block Propagation Time: 136.748252
Block Propagation Time: 136.681818
Block Propagation Time: 136.711806
Block Propagation Time: 136.819788
Block Propagation Time: 136.672474
Block Propagation Time: 136.711806
Block Propagation Time: 136.653846
Block Propagation Time: 136.711806
Block Propagation Time: 136.671329
Block Propagation Time: 136.711806
Block Propagation Time: 136.658537
Block Propagation Time: 136.711806
Block Propagation Time: 136.641115
Block Propagation Time: 136.711806
Block Propagation Time: 136.657343
Block Propagation Time: 136.752613
Block Propagation Time: 136.695804
Block Propagation Time: 136.742160
Block Propagation Time: 136.699301
Block Propagation Time: 136.777003
Block Propagation Time: 136.650350
Block Propagation Time: 136.789474
Block Propagation Time: 136.657343
Block Propagation Time: 136.741259
Block Propagation Time: 136.752613
Block Propagation Time: 136.728223
Block Propagation Time: 136.807018
Block Propagation Time: 136.711806
Block Propagation Time: 136.714286
Block Propagation Time: 136.711806
Block Propagation Time: 137.097902
Block Propagation Time: 136.655052
Block Propagation Time: 136.637631
Block Propagation Time: 136.727273
Block Propagation Time: 136.777003
Block Propagation Time: 136.627178
Block Propagation Time: 136.700348
Block Propagation Time: 137.094737
Block Propagation Time: 136.731707
Block Propagation Time: 136.588028
Block Propagation Time: 136.649123
Block Propagation Time: 136.738676
Block Propagation Time: 136.771930
Block Propagation Time: 136.660839
Block Propagation Time: 136.636364
Block Propagation Time: 136.711806
Block Propagation Time: 136.712281
Block Propagation Time: 136.779720
Block Propagation Time: 136.711806
Block Propagation Time: 136.702797
Block Propagation Time: 136.703833
Block Propagation Time: 136.666667
Block Propagation Time: 136.664336
Block Propagation Time: 136.686411
Block Propagation Time: 136.711806
Block Propagation Time: 136.707317
Block Propagation Time: 136.643357
Block Propagation Time: 136.711806
Block Propagation Time: 136.650350
